Column1;Column2;Column3;Column4;Column5
38.158.208.0/20;PR;;;
38.158.208.0/24;PR;;;
38.158.209.0/24;PR;;;
38.158.210.0/24;PR;;;
38.158.211.0/24;PR;;;
38.158.212.0/24;PR;;;
38.158.213.0/24;PR;;;
38.158.214.0/24;PR;;;
38.158.215.0/24;PR;;;
38.158.216.0/24;PR;;;
38.158.217.0/24;PR;;;
38.158.218.0/24;PR;;;
38.158.219.0/24;PR;;;
38.158.220.0/24;PR;;;
38.158.221.0/24;PR;;;
38.158.222.0/24;PR;;;
38.158.223.0/24;PR;;;
104.218.243.0/24;PR;;;
104.238.194.0/24;PR;;;
154.64.223.0/24;PR;;;
2604:fcc0::/32;PR;;;